Razão Social;Código;TICKER;CNPJ_FUNDO;COTA;ISIN;YEAR_DIV_AVERAGE
FDO INV IMOB EDIFÍCIO OURINVEST;EDFO;EDFO11B;06.175.262/0001-73;236000;BREDFOCTF004;1.7296818298833332
FDO INV IMOB EUROPAR;EURO;EURO11;05.437.916/0001-27;383936;BREUROCTF011;0.8533333333333334
FDO INV IMOB GENERAL SEVERIANO - FII;GESE;GESE11B;17.007.528/0001-95;38868;BRGESECTF001;17.398566790916664
FDO INV IMOB GENERAL SHOPPING ATIVO E RENDA - FII;FIGS;FIGS11;17.590.518/0001-25;2591500;BRFIGSCTF009;0.8333333333299998
FDO INV IMOB GRAND PLAZA SHOPPING;ABCP;ABCP11;01.201.140/0001-90;12203833;BRABCPCTF000;0.15
FDO INV IMOB GREEN TOWERS;GTWR;;23.740.527/0001-58;1200000;BRGTWRCTF003;1.2110738255
FDO INV IMOB HABITAT I;HBTT;HBTT11;26.846.202/0001-42;66567;BRHBTTCTF001;10.902000000000001
FDO INV IMOB HOSPITAL UNIMED SUL CAPIXABA;HUSC;HUSC11;28.851.767/0001-43;850821;BRHUSCCTF009;0.9
FDO INV IMOB INDUSTRIAL DO BRASIL;FIIB;FIIB11;14.217.108/0001-45;685000;BRFIIBCTF001;2.61
FDO INV IMOB INFRA REAL ESTATE - FII;FINF;FINF11;18.369.510/0001-04;666420;BRFINFCTF002;0.18339790551571428
FDO INV IMOB MEMORIAL OFFICE;FMOF;FMOF11;01.633.741/0001-72;508008;BRFMOFCTF010;0.3388888888888889
FDO INV IMOB MERCANTIL DO BRASIL - FII;MBRF;MBRF11;13.500.306/0001-59;101664;BRMBRFCTF004;8.041666666666666
FDO INV IMOB MOGNO FUNDO DE FUNDOS;MGFF;MGFF11;29.216.463/0001-77;1205927;BRMGFFCTF008;0.5400723734891667
FDO INV IMOB MV9 - FII;MVFI;;23.537.203/0001-17;77850000;;
FDO INV IMOB NESTPAR - FII;NPAR;NPAR11;24.814.916/0001-43;79340;BRNPARCTF003;0.8674271390900001
FDO INV IMOB PANAMBY;PABY;PABY11;00.613.094/0001-74;758400;BRPABYCTF012;0.13252879
FDO INV IMOB PEDRA NEGRA RENDA IMOB;FPNG;FPNG11;17.161.979/0001-82;636000;BRFPNGCTF005;0.8341666666666668
FDO INV IMOB POLO ESTOQUE II - FII;ESTQ;;18.497.672/0001-10;44619577;;
FDO INV IMOB POLO SHOPPING INDAIATUBA;VPSI;VPSI11;14.721.889/0001-00;7849196;BRVPSICTF007;0.12212918888888888
FDO INV IMOB PROJETO ÁGUA BRANCA;FPAB;FPAB11;03.251.720/0001-18;750000;BRFPABCTF011;2.3666666666666667
