TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;SIT;VL_PATRIM_LIQ;RAZAO_SOCIAL;CODIGO;TICKER;COTA;ISIN;YEAR_DIV_AVERAGE;PRICE_MARKET;PRICE_COTA_PATRIM
F.I.I.;06.175.262/0001-73;FII EDIFÍCIO OURINVEST;EM FUNCIONAMENTO NORMAL;43635702,18;FDO INV IMOB EDIF�CIO OURINVEST;EDFO;EDFO11B;236000;BREDFOCTF004;1.73;311.50;184,9
F.I.I.;13.022.994/0001-99;FII ELDORADO;EM FUNCIONAMENTO NORMAL;823408685,77;FDO INV IMOB - FII ELDORADO;ELDO;ELDO11B;787256;BRELDOCTF002;3.1;0;1045,92
F.I.I.;05.437.916/0001-27;FII EUROPAR;EM FUNCIONAMENTO NORMAL;122650609,54;FDO INV IMOB EUROPAR;EURO;EURO11;383936;BREUROCTF011;0.85;154.99;319,46
F.I.I.;10.375.382/0001-91;FII FLORIPA SHOPPING;EM FUNCIONAMENTO NORMAL;74309867,0;FDO INV IMOB - FII FLORIPA SHOPPING;FLRP;FLRP11;55691;BRFLRPCTF006;7.15;1,299.49;1334,32
F.I.I.;04.066.582/0001-60;FII HOSPITAL DA CRIANÇA;EM FUNCIONAMENTO NORMAL;52627906,93;FDO INV IMOB - FII HOSPITAL DA CRIAN�A;HCRI;HCRI11;200000;BRHCRICTF006;2.35;356.04;263,14
F.I.I.;08.014.513/0001-63;FII HOSPITAL NOSSA SENHORA DE LOURDES;EM FUNCIONAMENTO NORMAL;207145920,92;FDO INV IMOB - FII HOSPITAL NOSSA SRA DE LOURDES;NSLU;NSLU11;1144800;BRNSLUCTF008;1.59;240.31;180,95
F.I.I.;08.706.065/0001-69;FII HOTEL MAXINVEST;EM FUNCIONAMENTO NORMAL;155517088,24;FDO INV IMOB - FII HOTEL MAXINVEST;HTMX;HTMX11;1118960;BRHTMXCTF000;0.82;152.99;138,98
F.I.I.;11.274.415/0001-70;FII MAX RETAIL;EM FUNCIONAMENTO NORMAL;105321226,97;FDO INV IMOB - FII MAX RETAIL;MAXR;MAXR11;59245;BRMAXRCTF009;14.83;1,990.00;1777,72
F.I.I.;01.633.741/0001-72;FII MEMORIAL OFFICE;EM FUNCIONAMENTO NORMAL;67828336,29;FDO INV IMOB MEMORIAL OFFICE;FMOF;FMOF11;508008;BRFMOFCTF010;0.34;79.00;133,52
F.I.I.;10.869.155/0001-12;FII PARQUE DOM PEDRO SHOPPING CENTER;EM FUNCIONAMENTO NORMAL;701482486,59;FDO INV IMOB - FII PARQUE D. PEDRO SHOPPING CENTER;PQDP;PQDP11;238477;BRPQDPCTF004;14.26;3,192.00;2941,51
F.I.I.;03.251.720/0001-18;FII PROJ AGUA BRANCA;EM FUNCIONAMENTO NORMAL;279373299,67;FDO INV IMOB PROJETO �GUA BRANCA;FPAB;FPAB11;750000;BRFPABCTF011;2.37;360.00;372,5
F.I.I.;14.879.856/0001-93;FII SHOPPING JARDIM SUL;EM FUNCIONAMENTO NORMAL;209218295,1;FDO INV IMOB - FII SHOPPING JARDIM SUL;JRDM;JRDM11;2392146;BRJRDMCTF002;0.47;78.20;87,46
F.I.I.;07.224.019/0001-60;FII SHOPPING PARQUE D PEDRO;EM FUNCIONAMENTO NORMAL;1976915173,63;FDO INV IMOB - FII SHOPPING PARQUE D. PEDRO;SHDP;SHDP11B;1639739;BRSHDPCTF007;6.25;0;1205,63
F.I.I.;07.122.725/0001-00;FII TORRE ALMIRANTE;EM FUNCIONAMENTO NORMAL;190647285,72;FDO INV IMOB - FII TORRE ALMIRANTE;ALMI;ALMI11;111177;BRALMICTF003;0.37;1,419.94;1714,81
F.I.I.;04.722.883/0001-02;FII TORRE NORTE;EM FUNCIONAMENTO NORMAL;784209649,8;FDO INV IMOB - FII TORRE NORTE;TRNT;TRNT11;3935562;BRTRNTCTF013;0.54;176.01;199,26
F.I.I.;13.022.993/0001-44;FII VBI FL 4440;EM FUNCIONAMENTO NORMAL;201675946,3;FDO INV IMOB VBI FL 4440 - FII;FVBI;FVBI11;2150000;BRFVBICTF004;0.41;129.00;93,8
F.I.I.;02.027.437/0001-44;FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO;EM FUNCIONAMENTO NORMAL;65538778,68;FDO BRAS�LIO MACHADO DE INVESTIMENTO IMOBILI�RIO;BMII;BMII11;140000;BRBMIICTF007;3.57;0;468,13
F.I.I.;30.091.444/0001-40;FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII;EM FUNCIONAMENTO NORMAL;137311366,4;FUNDO DE FDO INV IMOB KINEA FII;KFOF;KFOF11;1317933;BRKFOFCTF006;0.38;114.55;104,19
F.I.I.;29.787.928/0001-40;FUNDO DE INVESTIMENTO IMOBILIARIO - BTG PACTUAL CREDITO IMOBILIARIO;EM FUNCIONAMENTO NORMAL;68532371,71;FDO INV IMOB - BTG PACTUAL CREDITO IMOBILIARIO;BTCR;BTCR11;680000;BRBTCRCTF006;0.65;113.30;100,78
F.I.I.;17.324.357/0001-28;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BRASIL PLURAL ABSOLUTO FUNDO DE FUNDOS;EM FUNCIONAMENTO NORMAL;252060422,14;FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS;BPFF;BPFF11;2668860;BRBPFFCTF002;0.65;91.38;94,44
F.I.I.;08.924.783/0001-01;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BTG PACTUAL CORPORATE OFFICE FUND;EM FUNCIONAMENTO NORMAL;2072833490,48;FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND;BRCR;BRCR11;19224537;BRBRCRCTF000;1.15;92.79;107,82
F.I.I.;09.552.812/0001-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BTG PACTUAL FUNDO DE CRI;EM FUNCIONAMENTO NORMAL;148897985,25;FDO INV IMOB - FII BTG PACTUAL FUNDO DE CRI;FEXC;FEXC11;1461280;BRFEXCCTF007;0.79;107.30;101,9
F.I.I.;11.026.627/0001-38;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BTG PACTUAL FUNDO DE FUNDOS;EM FUNCIONAMENTO NORMAL;719002023,57;FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS;BCFF;BCFF11;8449360;BRBCFFCTF000;0.68;83.97;85,1
F.I.I.;15.799.397/0001-09;FUNDO DE INVESTIMENTO IMOBILIARIO - FII CEO CYRELA COMMERCIAL PROPERTIES;EM FUNCIONAMENTO NORMAL;160542069,24;FDO INV IMOB - FII CEO CYRELA COMMERC. PROPERTIES;CEOC;CEOC11;1815696;BRCEOCCTF003;0.54;85.67;88,42
F.I.I.;15.333.306/0001-37;FUNDO DE INVESTIMENTO IMOBILIARIO - FII EDIFICIO GALERIA;EM FUNCIONAMENTO NORMAL;326185571,12;FDO INV IMOB - FII EDIF�CIO GALERIA;EDGA;EDGA11;3812055;BREDGACTF001;0.2;48.49;85,57
